restaurant_name,restaurant_url,menu_type,name,description,price
42 Fusion,https://42fusion.com/,Menu,FLAN,"Sweet custard with fresh vanilla beans, topped with caramel sauce",$8
42 Fusion,https://42fusion.com/,Menu,CHURROS,"Oaxacan dessert fried and dusted in cinnamon and sugar, served with chocolate sauce",$8
42 Fusion,https://42fusion.com/,Menu,CANNOLI  (2),Hand made deep fried shells layered with traditional cannoli cream,$9
42 Fusion,https://42fusion.com/,Menu,VANILLA BEAN ICE CREAM,"Roasted Potatoes 6
Spinach 7
Vegetable of the Day 6
Side of Risotto 8",$4
42 Fusion,https://42fusion.com/,Catering,ROASTED POTATOES,,$25 (half tray) | $40 (full tray)
42 Fusion,https://42fusion.com/,Catering,SPINACH,,$35 (half tray) | $60 (full tray)
42 Fusion,https://42fusion.com/,Catering,ASPARAGUS,,$35 (half tray) | $60 (full tray)
42 Fusion,https://42fusion.com/,Catering,GREEN BEANS,,$25 (half tray) | $40 (full tray)
42 Fusion,https://42fusion.com/,Catering,ZUCCHINI SQUASH,,$25 (half tray) | $40 (full tray)
42 Fusion,https://42fusion.com/,Catering,CIABATTA FRESCO,"Topped with avocado, fresh tomato, ciliantro, red onion, japapenos, queso fresco and drizzled with a balsamic reduction on a bed of arugula",$35 (half tray) | $60 (full tray)
42 Fusion,https://42fusion.com/,Catering,MEXICAN ARANCINI,"Arborio rice with chorizo and fresh cilantro, cotija and melted monterey cheese with our ancho aioli",$60 (half tray) | $110 (full tray)
42 Fusion,https://42fusion.com/,Catering,CHARRED POBLANO  (GF),"Stuffed with a house blend of cheese, spices and mix of chorizo and italian sausage",$55 (half tray) | $100 (full tray)
42 Fusion,https://42fusion.com/,Catering,PROSCIUTTO WRAPPED SHRIMP  (GF),"Tossed with white beans, peppadew peppers, spinach, roasted cherry tomatoes and drizzled with a fig balsamic glaze",$80 (half tray) | $150 (full tray)
42 Fusion,https://42fusion.com/,Catering,TAQUITO,"Tortillas filled with Tinga de pollo and fried. Topped with shredded lettuce, onion, queso fresco, guacamole and cream",$35 (half tray) | $60 (full tray)
42 Fusion,https://42fusion.com/,Catering,TACO  (GF),Tacos served with diced onion and cilantro with a side of salsa.,$65 (half tray) | $120 (full tray)
42 Fusion,https://42fusion.com/,Catering,HOUSE SALAD,"Mixed greens with cherry tomatoes, cucumbers, green olives, red onion and carrots. Topped with crumb;e queso fresco and house dressing",$40 (half tray) | $70 (full tray)
42 Fusion,https://42fusion.com/,Catering,MEXICAN COBB,"Little leaf lettuce and arugula adorned with crispy chorizo, red onion, corn, spiced-toasted pepitas, black beans and queso fresco, cotija and a hard=boiled egg with zesty poblano-cilantro dressing",$65 (half tray) | $110 (full tray)
42 Fusion,https://42fusion.com/,Catering,QUINOA SALAD,"Tri-colored quinoa tossed with street corn, red onions, scallions, cilantro, cucumbers, seasoned black beans and queso fresco in a chili-lime vinaigrette over little leaf lettuce and romaine topped with diced avocado and grilled lime",$65 (half tray) | $110 (full tray)
42 Fusion,https://42fusion.com/,Catering,CAPRESE SALAD,"Beefsteak tomatoes, fresh mozzarella, basil, kalamata olive, extra virgin olive oil and a balsamic reduction over a bed of arugula, sprinkled with truffle salt",$50 (half tray) | $90 (full tray)
42 Fusion,https://42fusion.com/,Catering,42 FUSION SALAD,"Arugula mixed with red onion, fresh mozzarella, avocado, cannellini beans, cherry tomatoes, lemon juice and extra virgin olive oil and finished with fried jalapenos",$65 (half tray) | $110 (full tray)
42 Fusion,https://42fusion.com/,Catering,LA FRONTERA SALAD,"Arugula tossed with fresh lemon, olive oil, sea salt and mixed with peppadew peppers, kalamata olives, white beans, black beans, red onion, toasted pepitas, queso fresco and ricotta salata",$45 (half tray) | $80 (full tray)
42 Fusion,https://42fusion.com/,Catering,CAESAER SALAD,"Parmesan and cotija grilled and encrusted romaine hearts topped with crisp proscuitto. chorizo, red onion and  drizzled with cayenne-lemon caesar dressing",$45 (half tray) | $80 (full tray)
42 Fusion,https://42fusion.com/,Catering,MEXICAN LASAGNA,"A trio of seasoned ground beef, chorizo and veal layered with a blend of oaxacan cheese and mozzarella between sheets of pasta with homemade tomato sauce",$65 (half tray) | $130 (full tray)
42 Fusion,https://42fusion.com/,Catering,VONGOLE FUSION,"Little neck clams sauteed in a Carta-Blanca sauce with plum tomatoes, manzanilla olives and fettuccini",$60 (half tray) | $100 (full tray)
42 Fusion,https://42fusion.com/,Catering,FRUTTI MARE,"Shrimp, little neck clams, p.e.i. mussels and squid tossed with fettuccini in a roasted serrano-tomato sauce",$65 (half tray) | $120 (full tray)
42 Fusion,https://42fusion.com/,Catering,GNOCCHI,"Potato and ricotta gnocchi tossed with sauteed chorizo, onions, peas, cremini mushrooms in a sun dried tomato pesto cream sauce",$65 (half tray) | $110 (full tray)
42 Fusion,https://42fusion.com/,Catering,CHEESE RAVIOLI,"With sauteed vegetables in a wine sauce tossed with zucchini, cherry tomatoes and roasted poblano peppers and topped with queso fresco",$60 (half tray) | $100 (full tray)
42 Fusion,https://42fusion.com/,Catering,PENNE ALA VODKA,"Penne pasta with smoked chorizo, tarragon in a light pink sauce",$50 (half tray) | $90 (full tray)
42 Fusion,https://42fusion.com/,Catering,BOLOGNESE,"Ground beef, chorizo and veal on tossed in a homemade tomato sauce on rigatoni pasta",$50 (half tray) | $90 (full tray)
42 Fusion,https://42fusion.com/,Catering,CHICKEN MILANESE,"Breaded, pan fried and served on top of pico de gallo. Paired with sauteed onions, peppadew and prosciutto",$50 (half tray) | $90 (full tray)
42 Fusion,https://42fusion.com/,Catering,CHICKEN PARMIGIANA,"Chicken breast with homemade marinara sauce, mozzarella, parmesan cheese",$50 (half tray) | $90 (full tray)
42 Fusion,https://42fusion.com/,Catering,SALMON,Grilled salmon in a lemon-caper butter,MP
42 Fusion,https://42fusion.com/,Catering,AIRLINE CHICKEN,"Roasted chicken thigh with caramelized onion, chorizo, potatoes, peppadew, fresh herb, white wine with a demi-glaze sauce",$65 (half tray) | $120 (full tray)
42 Fusion,https://42fusion.com/,Catering,TIRAMISO,Delicate lady fingers with espresso and mascarpone dusted with cocoa powder,$50
42 Fusion,https://42fusion.com/,Catering,FLAN,"Sweet custard with fresh vanilla beans, topped with caramel sauce",$50
42 Fusion,https://42fusion.com/,Catering,CHURROS,"Oaxacan dessert fried and dusted in cinnamon and sugar, served with chocolate sauce",$50
42 Fusion,https://42fusion.com/,Catering,CANNOLI,"Handmade, deep-fried shells layered with traditional cannoli cream",$45
